id,listing_url,scrape_id,last_scraped,source,name,,,picture_url,host_id,host_url,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2992450,https://www.airbnb.com/rooms/2992450,2.02E+13,05-09-2024,city scrape,Luxury 2 bedroom apartment,,,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,07-01-2013,N/A,N/A,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,t,f,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,$70.00,28,1125,28,28,1125,1125,28,1125,,t,0,0,0,158,05-09-2024,9,0,0,01-07-2014,17-08-2022,3.56,3.44,3.56,4.22,4.56,3.22,3.67,,f,1,1,0,0,0.07
3820211,https://www.airbnb.com/rooms/3820211,2.02E+13,05-09-2024,city scrape,Restored Precinct in Center Sq. w/Parking,,,https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,07-08-2014,within a few hours,100%,76%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,$116.00,2,1125,2,3,1125,1125,2.8,1125,,t,4,31,61,336,05-09-2024,305,16,0,15-08-2014,31-07-2024,4.75,4.89,4.87,4.85,4.81,4.82,4.78,,f,4,4,0,0,2.49
5651579,https://www.airbnb.com/rooms/5651579,2.02E+13,05-09-2024,city scrape,Large studio apt  by Capital Center & ESP@,,,https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,13-03-2015,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,t,t,Neighborhood highlights,SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,$75.00,2,45,1,2,1125,1125,1.3,1125,,t,1,4,34,34,05-09-2024,366,40,5,08-05-2015,27-08-2024,4.51,4.62,4.45,4.81,4.87,4.76,4.63,,f,2,1,1,0,3.22
6623339,https://www.airbnb.com/rooms/6623339,2.02E+13,05-09-2024,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,,,https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,07-08-2014,within a few hours,100%,76%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,$116.00,2,1125,1,3,1125,1125,2.7,1125,,t,0,0,4,279,05-09-2024,328,25,0,07-06-2015,31-07-2024,4.73,4.83,4.71,4.82,4.7,4.8,4.72,,f,4,4,0,0,2.91
8035768,https://www.airbnb.com/rooms/8035768,2.02E+13,05-09-2024,city scrape,Entire Beautiful French Victorian 1884,,,https://a0.muscache.com/pictures/103429331/a0a6c0b1_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,24-08-2015,within a day,67%,50%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,t,t,Neighborhood highlights,TENTH WARD,,42.66088,-73.78147,Entire home,Entire home/apt,6,3.5,3.5 baths,3,3,$305.00,2,1125,2,2,1125,1125,2,1125,,t,30,57,87,362,05-09-2024,56,4,0,02-09-2015,28-01-2024,4.75,4.81,4.78,4.92,4.8,4.74,4.75,,f,2,1,1,0,0.51
8035784,https://www.airbnb.com/rooms/8035784,2.02E+13,05-09-2024,city scrape,Delightful French Victorian,,,https://a0.muscache.com/pictures/102414176/e6b76700_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,24-08-2015,within a day,67%,50%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,t,t,Neighborhood highlights,TENTH WARD,,42.66063,-73.78115,Private room in home,Private room,2,2.5,2.5 shared baths,1,1,$199.00,3,65,3,3,65,65,3,65,,t,30,60,90,179,05-09-2024,18,0,0,17-10-2015,25-07-2020,4.61,4.83,4.61,4.78,4.83,4.67,4.72,,f,2,1,1,0,0.17
9005989,https://www.airbnb.com/rooms/9005989,2.02E+13,05-09-2024,city scrape,"Studio in The heart of Center SQ, in Albany NY",,,https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,https://www.airbnb.com/users/show/17766924,Sugey,07-07-2014,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,,1,1,t,t,Neighborhood highlights,SIXTH WARD,,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1,1 bath,1,2,$86.00,1,1125,1,1,1125,1125,1,1125,,t,0,0,0,159,05-09-2024,598,34,0,07-08-2016,17-07-2024,4.79,4.86,4.83,4.95,4.93,4.87,4.77,,f,1,1,0,0,6.08
9501054,https://www.airbnb.com/rooms/9501054,2.02E+13,05-09-2024,city scrape,Spacious suite with full bath by Capital  Center,,,https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,13-03-2015,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1,1 private bath,1,2,$65.00,1,60,1,3,60,60,1.7,60,,t,21,42,71,71,05-09-2024,392,39,1,02-02-2016,28-08-2024,4.54,4.71,4.5,4.83,4.86,4.75,4.66,,f,2,1,1,0,3.75
10768745,https://www.airbnb.com/rooms/10768745,2.02E+13,05-09-2024,city scrape,Alb hospital area studio bath wifi. (Red),,,https://a0.muscache.com/pictures/aa3b62f5-fbd8-4afd-8104-b93a8711d80f.jpg,5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,30-03-2013,within an hour,98%,92%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,,2,3,t,t,,FOURTEENTH WARD,,42.66078,-73.80553,Entire home,Entire home/apt,1,1,1 bath,1,1,$50.00,1,1125,1,1,1125,1125,1,1125,,t,5,10,40,123,05-09-2024,697,116,9,05-02-2016,30-08-2024,4.82,4.89,4.78,4.94,4.88,4.93,4.91,,f,2,2,0,0,6.67
11253948,https://www.airbnb.com/rooms/11253948,2.02E+13,05-09-2024,city scrape,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,,,https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,4259750,https://www.airbnb.com/users/show/4259750,Peter,27-11-2012,within an hour,94%,88%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,9,14,t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67567,-73.82438,Entire place,Entire home/apt,10,2,2 baths,3,4,$214.00,1,1124,1,2,1124,1124,1.3,1124,,t,23,51,81,354,05-09-2024,158,30,0,29-05-2016,22-05-2024,4.95,4.92,4.97,4.99,4.96,4.94,4.85,,f,9,9,0,0,1.57
11639446,https://www.airbnb.com/rooms/11639446,2.02E+13,05-09-2024,city scrape,$55twin($30 foreign student)FreeBF Noa/c no smoke,,,https://a0.muscache.com/pictures/1129f67c-dfb2-4a2c-bb1d-914a3245d600.jpg,61700428,https://www.airbnb.com/users/show/61700428,Adam,05-03-2016,within a few hours,100%,90%,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,,2,2,t,t,Neighborhood highlights,ELEVENTH WARD,,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,$55.00,1,1125,1,1,1125,1125,1,1125,,t,30,60,90,365,05-09-2024,231,8,0,31-05-2016,29-02-2024,4.81,4.87,4.37,4.94,4.96,4.52,4.87,,f,2,0,2,0,2.29
12284708,https://www.airbnb.com/rooms/12284708,2.02E+13,05-09-2024,city scrape,"Well Lit Modern Room, Perfect Location Albany",,,https://a0.muscache.com/pictures/0adcd911-d1ad-4faf-af01-749343697b5d.jpg,36438637,https://www.airbnb.com/users/show/36438637,Chad,22-06-2015,within an hour,100%,95%,,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,,15,15,t,t,Neighborhood highlights,TENTH WARD,,42.65912,-73.78349,Private room in home,Private room,2,1,1 shared bath,1,1,$45.00,18,365,18,18,1125,1125,18,1125,,t,0,3,33,308,05-09-2024,61,0,0,23-05-2016,26-10-2019,4.61,4.75,4.46,4.86,4.81,4.73,4.68,,t,4,0,4,0,0.6
12799126,https://www.airbnb.com/rooms/12799126,2.02E+13,05-09-2024,city scrape,Private Room in the Hearth of the Albany,,,https://a0.muscache.com/pictures/3e656127-d8e2-4743-a405-1b91d81c4dc7.jpg,69729286,https://www.airbnb.com/users/show/69729286,Musab,01-05-2016,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_x_medium,Capitol Hill,2,2,t,t,Neighborhood highlights,SIXTH WARD,,42.65154,-73.76867,Private room in rental unit,Private room,1,1,1 shared bath,1,1,$50.00,5,1125,5,5,1125,1125,5,1125,,t,0,3,33,307,05-09-2024,28,2,0,23-08-2020,06-02-2024,4.82,4.89,4.57,4.82,4.89,4.71,4.75,,f,2,0,2,0,0.57
13083497,https://www.airbnb.com/rooms/13083497,2.02E+13,05-09-2024,city scrape,Pristine Cape Cod on the Creek - 4 Large Bedrooms,,,https://a0.muscache.com/pictures/a430d734-d978-4b2e-bcc9-876618efc4ac.jpg,1364123,https://www.airbnb.com/users/show/1364123,Akhilesh,02-11-2011,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/32770a54-86fc-4904-9d34-74fc47588167.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/32770a54-86fc-4904-9d34-74fc47588167.jpg?aki_policy=profile_x_medium,,1,5,t,t,Neighborhood highlights,FIFTEENTH WARD,,42.66972,-73.82753,Entire home,Entire home/apt,8,2,2 baths,4,4,$219.00,2,1125,2,2,1125,1125,2,1125,,t,22,39,64,316,05-09-2024,184,18,2,01-07-2016,26-08-2024,4.67,4.79,4.73,4.9,4.86,4.79,4.77,,f,1,1,0,0,1.85
14316232,https://www.airbnb.com/rooms/14316232,2.02E+13,05-09-2024,city scrape,"Unique Modern Room, Perfect Location Albany",,,https://a0.muscache.com/pictures/0d7f6d7c-0faf-43d6-a63f-b935103cf056.jpg,36438637,https://www.airbnb.com/users/show/36438637,Chad,22-06-2015,within an hour,100%,95%,,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,,15,15,t,t,Neighborhood highlights,TENTH WARD,,42.65726,-73.78219,Private room in home,Private room,1,1,1 shared bath,1,1,$45.00,18,1125,18,18,1125,1125,18,1125,,t,22,28,58,333,05-09-2024,51,4,1,07-08-2016,02-09-2024,4.67,4.8,4.57,4.94,4.74,4.64,4.76,,t,4,0,4,0,0.52
14989805,https://www.airbnb.com/rooms/14989805,2.02E+13,05-09-2024,city scrape,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,,,https://a0.muscache.com/pictures/408eb58e-caa7-4021-9a9e-dfa49e849052.jpg,4259750,https://www.airbnb.com/users/show/4259750,Peter,27-11-2012,within an hour,94%,88%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,9,14,t,t,Neighborhood highlights,FIFTEENTH WARD,,42.673512,-73.819679,Entire home,Entire home/apt,7,2,2 baths,2,2,$243.00,1,730,1,4,730,730,2,730,,t,0,0,12,287,05-09-2024,100,20,0,13-11-2016,31-07-2024,4.95,4.97,4.94,4.98,4.98,4.87,4.67,,f,9,9,0,0,1.05
15580397,https://www.airbnb.com/rooms/15580397,2.02E+13,05-09-2024,city scrape,Albany Med/Downtown Albany/Colleges/BLUE ROOM.,,,https://a0.muscache.com/pictures/miso/Hosting-15580397/original/6eb65e63-fae2-4268-962c-6d752d20727b.jpeg,89705052,https://www.airbnb.com/users/show/89705052,Share,13-08-2016,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/31d87914-56b6-462c-a392-c5041d7641b0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/31d87914-56b6-462c-a392-c5041d7641b0.jpeg?aki_policy=profile_x_medium,Pine Hills,4,9,t,t,Neighborhood highlights,NINTH WARD,,42.65651,-73.77887,Private room in home,Private room,2,1,1 shared bath,1,1,$60.00,2,29,2,2,1125,1125,2,1125,,t,30,60,87,92,05-09-2024,43,6,0,29-05-2017,31-07-2024,4.72,4.91,4.86,4.86,4.81,4.86,4.79,,f,4,0,4,0,0.49
16531782,https://www.airbnb.com/rooms/16531782,2.02E+13,05-09-2024,city scrape,On a little park in Albany pine hills. (Blue),,,https://a0.muscache.com/pictures/hosting/Hosting-16531782/original/a61ad290-632b-40ad-84fd-65e0652be365.jpeg,5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,30-03-2013,within an hour,98%,92%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,,2,3,t,t,,FOURTEENTH WARD,,42.66075,-73.80605,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,$70.00,1,1125,1,1,1125,1125,1,1125,,t,9,25,47,318,05-09-2024,425,127,14,28-05-2020,28-08-2024,4.74,4.84,4.64,4.85,4.77,4.9,4.83,,f,2,2,0,0,8.16
17238066,https://www.airbnb.com/rooms/17238066,2.02E+13,05-09-2024,city scrape,"$53($25 foreign student)Twin, noa/cno Smoke freeBF",,,https://a0.muscache.com/pictures/4c939df7-1935-4423-89c8-b32f10ec48ed.jpg,61700428,https://www.airbnb.com/users/show/61700428,Adam,05-03-2016,within a few hours,100%,90%,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,,2,2,t,t,Neighborhood highlights,FIFTH WARD,,42.67614,-73.78169,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,$53.00,3,1125,3,3,1125,1125,3,1125,,t,29,59,89,364,05-09-2024,132,3,0,23-04-2017,01-08-2024,4.92,4.91,4.53,4.96,4.96,4.67,4.94,,f,2,0,2,0,1.47
